type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,059176,臺股指凱基99購27,TW20Z0591764,2020/03/17,上市,,RWICCE
上市認購(售)權證,059177,臺股指凱基99購28,TW20Z0591772,2020/03/17,上市,,RWICCE
上市認購(售)權證,059178,臺股指凱基99購30,TW20Z0591780,2020/03/17,上市,,RWICCE
上市認購(售)權證,059179,祥碩元富99購01,TW20Z0591798,2020/03/17,上市,,RWSCCA
上市認購(售)權證,05917P,宏達電元大96售02,TW19Z05917P4,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059180,祥碩元富9A購01,TW20Z0591806,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059181,世紀鋼元富9C購01,TW20Z0591814,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059182,台灣50台新9B購03,TW20Z0591822,2020/03/17,上市,,RWBCCE
上市認購(售)權證,059183,T50反1台新03購02,TW20Z0591830,2020/03/17,上市,,RWBCCE
上市認購(售)權證,059184,晶技台新99購01,TW20Z0591848,2020/03/17,上市,,RWSCCE
上市認購(售)權證,059185,臺股指台新99購12,TW20Z0591855,2020/03/17,上市,,RWICCE
上市認購(售)權證,059186,華通富邦9A購01,TW20Z0591863,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059187,國巨富邦9B購02,TW20Z0591871,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059188,京元電富邦9B購01,TW20Z0591889,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059189,國泰金富邦9B購01,TW20Z0591897,2020/03/17,上市,,RWSCCA
上市認購(售)權證,05918P,大立光元大96售11,TW19Z05918P2,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059190,欣興富邦9A購01,TW20Z0591905,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059191,茂林富邦9B購01,TW20Z0591913,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059192,臺股指富邦9C購01,TW20Z0591921,2020/03/17,上市,,RWICCE
上市認購(售)權證,059193,台灣50永豐99購05,TW20Z0591939,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059194,元金2X永豐99購01,TW20Z0591947,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059195,國巨永豐99購04,TW20Z0591954,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059196,聯發科永豐99購02,TW20Z0591962,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059197,可成永豐99購02,TW20Z0591970,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059198,華新科永豐99購06,TW20Z0591988,2020/03/17,上市,,RWSCCA
